epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1877,1.11027,2.13975,0.94511,1.07614,0.61673,0.29846,0.25807,0.15775,0.61673,0.29846,0.25762,0.15234,1.67533,5.65957,1.41693,1.31593,0,0,0
2,12.2517,1.17396,2.40681,0.88085,1.11334,0.64498,0.2975,0.25929,0.15846,0.64498,0.2975,0.2588,0.15323,1.675,5.60817,1.41598,1.31947,1.33693e-05,1.33693e-05,1.33693e-05
3,13.7221,1.41044,2.82964,1.08971,1.21967,0.64179,0.29847,0.25963,0.15862,0.64179,0.29847,0.25916,0.15102,1.67374,5.58472,1.41246,1.31997,2.01374e-05,2.01374e-05,2.01374e-05
4,15.3373,1.42885,3.1185,1.21808,1.2888,0.6404,0.29847,0.26016,0.15889,0.6404,0.29847,0.2592,0.15121,1.67382,5.55009,1.40901,1.31824,2.03041e-05,2.03041e-05,2.03041e-05
5,16.7913,1.31459,3.05901,1.17378,1.2414,0.63952,0.29847,0.25915,0.15856,0.63952,0.29847,0.2596,0.14986,1.68249,5.50507,1.41021,1.32385,1.38694e-05,1.38694e-05,1.38694e-05
