epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2143,1.39354,2.93272,1.31553,1.23466,0.73611,0.26157,0.25255,0.14793,0.72456,0.25463,0.24836,0.14086,1.52864,4.50323,1.43807,1.24479,0,0,0
2,20.5094,1.32113,3.05863,1.20408,1.28602,0.73164,0.26157,0.25159,0.1464,0.71578,0.24769,0.24764,0.13914,1.53512,4.48559,1.43831,1.24807,1.33693e-05,1.33693e-05,1.33693e-05
3,24.2299,1.41697,2.62031,1.18284,1.14643,0.72931,0.25702,0.2511,0.1468,0.7211,0.24769,0.24721,0.13786,1.53702,4.48624,1.43923,1.24996,2.01374e-05,2.01374e-05,2.01374e-05
4,27.3387,1.25276,2.75453,1.27394,1.18516,0.72588,0.25771,0.25096,0.14575,0.71688,0.24769,0.24756,0.13645,1.53973,4.46535,1.43644,1.25224,2.03041e-05,2.03041e-05,2.03041e-05
5,31.1079,1.1612,2.68627,1.38168,1.15634,0.72503,0.25751,0.25131,0.14562,0.70983,0.24959,0.24777,0.13562,1.53814,4.48831,1.43389,1.2522,1.38694e-05,1.38694e-05,1.38694e-05
