epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8375,1.19161,2.34783,0.98379,1.14143,0.83569,0.22931,0.23578,0.13011,0.78487,0.20621,0.21122,0.1215,1.5857,3.09203,1.14092,1.20722,0,0,0
2,34.6984,1.27656,2.50787,1.06971,1.18224,0.83666,0.23039,0.23578,0.13063,0.81494,0.21959,0.22388,0.1228,1.59083,3.10966,1.13433,1.21278,1.63399e-05,1.63399e-05,1.63399e-05
3,39.9734,1.27892,2.94527,1.04363,1.23049,0.83776,0.23144,0.23578,0.13074,0.81668,0.21984,0.22388,0.12277,1.58779,3.10278,1.12723,1.21164,3.20197e-05,3.20197e-05,3.20197e-05
4,43.4082,1.28506,2.58333,1.10565,1.18639,0.83835,0.23216,0.23577,0.13241,0.81674,0.21994,0.22388,0.12295,1.58675,3.09501,1.12113,1.20953,4.70394e-05,4.70394e-05,4.70394e-05
5,46.6589,1.39702,3.15821,1.29545,1.34141,0.83868,0.2325,0.23605,0.13247,0.81679,0.21997,0.22427,0.12305,1.58753,3.09326,1.11582,1.20762,6.13989e-05,6.13989e-05,6.13989e-05
6,50.7633,1.47102,3.21605,1.3652,1.31561,0.81787,0.23393,0.23605,0.14612,0.78241,0.22143,0.22873,0.12618,1.42849,2.8641,1.05044,1.1444,7.50984e-05,7.50984e-05,7.50984e-05
7,55.0849,1.26248,2.96311,1.17038,1.24653,0.77731,0.23393,0.23746,0.16217,0.8432,0.22018,0.22976,0.1385,1.20787,2.63822,0.98652,1.07704,8.81376e-05,8.81376e-05,8.81376e-05
8,59.1542,1.09685,2.31153,1.04207,1.10067,0.80146,0.24643,0.25405,0.174,0.80146,0.24643,0.25405,0.15003,0.9858,2.41674,0.94966,1.02234,0.000100517,0.000100517,0.000100517
9,62.5855,1.01878,2.18626,1.08784,1.07734,0.83721,0.23372,0.25412,0.1829,0.83721,0.23372,0.25412,0.15308,0.85629,2.21019,0.92666,0.98188,0.000112236,0.000112236,0.000112236
10,66.4227,1.05794,2.4371,1.08437,1.13345,0.70676,0.23826,0.24734,0.18124,0.70676,0.23826,0.24484,0.15741,0.82627,2.07814,0.91304,0.9725,0.000123295,0.000123295,0.000123295
11,70.2142,1.04843,2.29133,1.01784,1.1216,0.64008,0.21012,0.24371,0.18867,0.64008,0.21012,0.24371,0.15998,0.82552,2.00141,0.86522,0.98676,0.000133693,0.000133693,0.000133693
12,74.2649,1.0273,2.435,1.0098,1.09652,0.62984,0.22571,0.24669,0.19463,0.65654,0.23821,0.24957,0.16865,0.80131,1.95412,0.81517,0.99929,0.000143432,0.000143432,0.000143432
13,78.3845,0.80651,1.61788,0.81939,0.97715,0.64604,0.24643,0.25877,0.20515,0.67256,0.25893,0.26441,0.18394,0.78404,1.89365,0.75557,1.01986,0.00015251,0.00015251,0.00015251
14,83.162,0.86695,1.63994,0.87091,0.97252,0.72502,0.25372,0.2642,0.21231,0.75477,0.26422,0.27142,0.18573,0.82528,1.88297,0.7046,1.04943,0.000160929,0.000160929,0.000160929
