epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,97.1177,0.81895,1.73331,0.77259,0.95714,0.77327,0.24702,0.27116,0.15521,0.77327,0.24702,0.27157,0.11825,1.03096,3.51181,0.99741,1.12072,0.000207988,0.000207988,0.000207988
30,99.5934,1.08798,2.21383,1.05605,1.12932,0.77327,0.24702,0.27116,0.15521,0.77327,0.24702,0.27157,0.11825,1.03096,3.51181,0.99741,1.12072,0.000205844,0.000205844,0.000205844
31,101.928,0.82515,1.30495,0.78043,0.96595,0.74027,0.24702,0.2683,0.17444,0.56546,0.1756,0.19743,0.12325,1.01031,3.38443,0.97074,1.1124,0.000203041,0.000203041,0.000203041
32,105.341,0.72531,1.3321,0.74693,0.96507,0.74027,0.24702,0.2683,0.17444,0.56546,0.1756,0.19743,0.12325,1.01031,3.38443,0.97074,1.1124,0.000199577,0.000199577,0.000199577
33,108.425,0.85517,2.05588,0.77934,1.03243,0.74027,0.24702,0.2683,0.17444,0.56546,0.1756,0.19743,0.12325,1.01031,3.38443,0.97074,1.1124,0.000195452,0.000195452,0.000195452
34,110.866,0.83217,1.73001,0.80173,1.02116,0.96506,0.22385,0.26324,0.17936,0.96506,0.22385,0.26484,0.14465,1.03794,3.26362,0.98843,1.139,0.000190668,0.000190668,0.000190668
35,114.237,0.83359,1.61309,0.80202,0.99116,0.96506,0.22385,0.26324,0.17936,0.96506,0.22385,0.26484,0.14465,1.03794,3.26362,0.98843,1.139,0.000185224,0.000185224,0.000185224
36,116.014,0.73702,1.29014,0.72902,0.9461,0.96506,0.22385,0.26324,0.17936,0.96506,0.22385,0.26484,0.14465,1.03794,3.26362,0.98843,1.139,0.000179119,0.000179119,0.000179119
37,119.207,0.72725,1.09973,0.76327,0.92624,0.96506,0.22385,0.26324,0.17936,0.96506,0.22385,0.26484,0.14465,1.03794,3.26362,0.98843,1.139,0.000172354,0.000172354,0.000172354
38,121.728,0.78401,1.51245,0.81341,0.96739,0.97285,0.22517,0.26047,0.17933,0.97285,0.22517,0.26331,0.13745,1.05815,3.2087,1.00389,1.14895,0.00016493,0.00016493,0.00016493
39,123.77,0.63578,1.40596,0.72399,0.93183,0.97285,0.22517,0.26047,0.17933,0.97285,0.22517,0.26331,0.13745,1.05815,3.2087,1.00389,1.14895,0.000156845,0.000156845,0.000156845
40,126.836,0.73179,1.63297,0.75051,0.94832,0.97285,0.22517,0.26047,0.17933,0.97285,0.22517,0.26331,0.13745,1.05815,3.2087,1.00389,1.14895,0.0001481,0.0001481,0.0001481
41,138.145,0.86886,1.77435,0.92675,1.01687,0.97285,0.22517,0.26047,0.17933,0.97285,0.22517,0.26331,0.13745,1.05815,3.2087,1.00389,1.14895,0.000138694,0.000138694,0.000138694
42,140.134,0.77617,1.76839,0.81227,0.95092,0.972,0.22619,0.25949,0.17941,0.972,0.22619,0.26215,0.14015,1.0479,3.15258,1.01621,1.12279,0.000128629,0.000128629,0.000128629
43,142.161,0.71655,1.34136,0.78076,0.92341,0.972,0.22619,0.25949,0.17941,0.972,0.22619,0.26215,0.14015,1.0479,3.15258,1.01621,1.12279,0.000117904,0.000117904,0.000117904
44,145.577,0.79353,1.40779,0.79162,0.97224,0.972,0.22619,0.25949,0.17941,0.972,0.22619,0.26215,0.14015,1.0479,3.15258,1.01621,1.12279,0.000106518,0.000106518,0.000106518
45,149.684,0.81538,1.65718,0.88012,0.95107,0.972,0.22619,0.25949,0.17941,0.972,0.22619,0.26215,0.14015,1.0479,3.15258,1.01621,1.12279,9.44722e-05,9.44722e-05,9.44722e-05
46,151.077,0.65349,1.57024,0.79065,0.9437,0.96067,0.22619,0.25969,0.17731,0.96067,0.22619,0.26223,0.13926,1.07768,3.12832,1.0202,1.1336,8.17663e-05,8.17663e-05,8.17663e-05
47,154.776,0.71913,1.48434,0.83168,0.93083,0.96067,0.22619,0.25969,0.17731,0.96067,0.22619,0.26223,0.13926,1.07768,3.12832,1.0202,1.1336,6.84003e-05,6.84003e-05,6.84003e-05
48,158.104,0.77729,1.53774,0.77349,0.93165,0.96067,0.22619,0.25969,0.17731,0.96067,0.22619,0.26223,0.13926,1.07768,3.12832,1.0202,1.1336,5.43742e-05,5.43742e-05,5.43742e-05
49,161.598,0.81467,1.62694,0.83098,1.02068,0.96067,0.22619,0.25969,0.17731,0.96067,0.22619,0.26223,0.13926,1.07768,3.12832,1.0202,1.1336,3.96879e-05,3.96879e-05,3.96879e-05
50,164.29,0.75516,1.72299,0.76215,0.98648,0.81165,0.24702,0.26116,0.18214,0.81165,0.24702,0.26215,0.151,1.07264,3.11762,1.01242,1.13069,2.43415e-05,2.43415e-05,2.43415e-05
