epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5546,1.17267,2.33573,0.88136,1.06298,0.77164,0.23026,0.23756,0.13937,0.80333,0.23904,0.24491,0.11601,1.4023,2.7128,1.44521,1.36459,0,0,0
2,30.5009,1.41923,2.70584,1.27055,1.21441,0.77174,0.23015,0.23753,0.13923,0.80318,0.23886,0.24956,0.11551,1.41386,2.71393,1.43859,1.37104,1.63399e-05,1.63399e-05,1.63399e-05
3,35.2084,1.36925,2.59301,1.28121,1.2527,0.77024,0.22982,0.23753,0.13887,0.80177,0.23853,0.24926,0.11543,1.4217,2.71521,1.45505,1.37324,3.20197e-05,3.20197e-05,3.20197e-05
4,39.5895,1.27191,2.57698,1.12667,1.18992,0.76977,0.22966,0.23745,0.1386,0.8015,0.23833,0.2494,0.11538,1.4304,2.71746,1.4696,1.37646,4.70394e-05,4.70394e-05,4.70394e-05
5,43.1019,1.18186,2.54205,1.11294,1.21745,0.77088,0.22943,0.23739,0.13859,0.80267,0.2381,0.24952,0.11539,1.43262,2.71738,1.4678,1.37582,6.13989e-05,6.13989e-05,6.13989e-05
6,48.221,1.26762,2.60923,1.07327,1.1277,0.80028,0.23026,0.24211,0.14967,0.83179,0.23904,0.24771,0.12146,1.3111,2.56121,1.41894,1.33167,7.50984e-05,7.50984e-05,7.50984e-05
7,55.0925,1.07667,2.27647,1.08121,1.0966,0.83226,0.23026,0.25342,0.16442,0.86572,0.23904,0.25385,0.13572,1.11634,2.35057,1.28452,1.25189,8.81376e-05,8.81376e-05,8.81376e-05
