epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2744,1.23473,2.74823,1.00685,1.16943,0.85122,0.09549,0.11213,0.08964,0.80094,0.0928,0.1111,0.05861,1.45647,3.47814,1.5593,1.41435,0,0,0
2,14.8524,1.24539,2.55437,1.14853,1.12981,0.85389,0.0955,0.11218,0.08966,0.80327,0.09283,0.11115,0.05852,1.45748,3.48739,1.54494,1.42289,1.33693e-05,1.33693e-05,1.33693e-05
3,16.2066,1.35335,3.12282,1.14834,1.25724,0.85625,0.09553,0.11217,0.08992,0.8057,0.09286,0.11115,0.05835,1.45996,3.48325,1.52947,1.43343,2.01374e-05,2.01374e-05,2.01374e-05
4,17.5196,1.39843,2.81601,1.04354,1.15239,0.86048,0.09559,0.11216,0.08979,0.81008,0.09292,0.11049,0.05829,1.4577,3.48824,1.52419,1.43675,2.03041e-05,2.03041e-05,2.03041e-05
5,18.8775,1.45805,3.4527,1.32639,1.16391,0.86009,0.09559,0.11208,0.08986,0.81003,0.0929,0.11041,0.05836,1.45943,3.49321,1.51292,1.4484,1.38694e-05,1.38694e-05,1.38694e-05
